match_type,date,time,location,opp_team,home_away,opp_score,barca_score,barca_result,stadium,attendance,referee
HSV 125th Anniversary,2012-07-24,18:00 CEST,"Hamburg, Germany",Hamburg,A,1,2,W,Imtech Arena,57274,Peter Gagelmann
Summer Tour,2012-07-28,23:59 CEST,"Tangier, Morocco",Raja Casablanca,A,0,8,W,Stade de Tanger,23000,Hassan Kamranifar
Le Trophée de Paris,2012-08-04,19:45 CEST,"Paris, France",Paris Saint-Germain,A,2,2,D,Parc des Princes,48712,Saïd Ennjimi
Super Matchen,2012-08-08,20:00 CEST,"Gothenburg, Sweden",Manchester United,A,0,0,D,Ullevi,47141,Martin Balko
Summer of Champions' Cup,2012-08-11,19:45 CEST,"Bucharest, Romania",Dinamo București,A,0,2,W,Arena Națională,45000,Cristi Balaj
Joan Gamper Trophy,2012-08-20,22:00 CEST,"Barcelona, Spain",Sampdoria,H,1,0,L,Camp Nou,55498,F. Teixeira Vitienes
First leg,2012-08-23,22:30 CEST,Barcelona,Real Madrid,H,2,3,W,Camp Nou,91728,Clos Gómez
Second leg,2012-08-29,22:30 CEST,Madrid,Real Madrid,A,2,1,L,Santiago Bernabéu,78000,Antonio Mateu Lahoz
1,2012-08-19,21:00,Barcelona,Real Sociedad,H,1,5,W,Camp Nou,57721,González González
2,2012-08-26,19:00,Pamplona,Osasuna,A,1,2,W,El Sadar,15691,Muñiz Fernández
3,2012-09-02,21:30,Barcelona,Valencia,H,0,1,W,Camp Nou,76352,Pérez Lasa
4,2012-09-15,20:00,Getafe,Getafe,A,1,4,W,Alfonso Pérez,13000,F. Teixeira Vitienes
5,2012-09-22,22:00,Barcelona,Granada,H,0,2,W,Camp Nou,65834,Del Cerro Grande
6,2012-09-29,22:00,Seville,Sevilla,A,2,3,W,Ramón Sánchez Pizjuán,44800,Mateu Lahoz
7,2012-10-07,19:50,Barcelona,Real Madrid,H,2,2,D,Camp Nou,96589,Delgado Ferreiro
8,2012-10-20,22:00,A Coruña,Deportivo La Coruña,A,4,5,W,Riazor,32000,Paradas Romero
9,2012-10-27,22:00,Madrid,Rayo Vallecano,A,0,5,W,Campo de Vallecas,14000,Pérez Lasa
10,2012-11-03,18:00,Barcelona,Celta Vigo,H,1,3,W,Camp Nou,82978,Fernández Borbalán
11,2012-11-11,17:50,Palma,Mallorca,A,2,4,W,Iberostar,23142,Iglesias Villanueva
12,2012-11-17,20:00,Barcelona,Zaragoza,H,1,3,W,Camp Nou,73428,Ayza Gámez
